iter	Passed	Remaining
0	1	1818
1	3	1753
2	5	1683
3	6	1671
4	8	1626
5	9	1601
6	11	1594
7	12	1578
8	14	1559
9	15	1542
10	17	1534
11	18	1522
12	19	1514
13	21	1508
14	23	1526
15	24	1520
16	26	1513
17	27	1507
18	29	1504
19	30	1502
20	32	1505
21	33	1501
22	35	1495
23	36	1492
24	38	1493
25	39	1487
26	41	1482
27	42	1483
28	44	1484
29	45	1482
30	47	1478
31	48	1477
32	50	1474
33	51	1473
34	53	1472
35	54	1470
36	56	1470
37	57	1467
38	59	1464
39	60	1460
40	62	1459
41	63	1458
42	65	1456
43	67	1456
44	68	1455
45	70	1454
46	71	1452
47	73	1451
48	74	1450
49	76	1450
50	77	1448
51	79	1445
52	80	1446
53	82	1448
54	84	1447
55	85	1447
56	87	1448
57	89	1448
58	90	1445
59	92	1443
60	93	1441
61	95	1441
62	96	1441
63	98	1439
64	99	1437
65	101	1437
66	103	1435
67	104	1433
68	106	1430
69	107	1428
70	109	1426
71	110	1424
72	112	1423
73	113	1424
74	115	1422
75	116	1420
76	118	1418
77	119	1417
78	121	1417
79	123	1415
80	124	1414
81	126	1413
82	127	1414
83	129	1412
84	131	1410
85	132	1409
86	134	1408
87	135	1407
88	137	1405
89	138	1403
90	140	1403
91	142	1402
92	143	1401
93	145	1399
94	146	1397
95	148	1395
96	149	1392
97	151	1390
98	152	1388
99	154	1386
100	155	1385
101	157	1383
102	158	1381
103	160	1380
104	161	1378
105	163	1377
106	164	1375
107	166	1374
108	167	1372
109	169	1370
110	170	1369
111	172	1367
112	174	1366
113	175	1364
114	177	1362
115	178	1361
116	180	1360
117	181	1358
118	183	1356
119	184	1356
120	186	1356
121	188	1355
122	189	1354
123	191	1352
124	193	1353
125	194	1351
126	196	1349
127	197	1348
128	199	1349
129	201	1349
130	203	1348
131	204	1347
132	206	1345
133	208	1344
134	209	1344
135	211	1343
136	212	1341
137	214	1341
138	216	1342
139	218	1342
140	220	1340
141	221	1338
142	222	1336
143	224	1335
144	226	1333
145	227	1331
146	229	1330
147	230	1328
148	232	1327
149	233	1325
150	235	1323
151	236	1321
152	238	1320
153	240	1318
154	241	1316
155	243	1315
156	244	1313
157	246	1311
158	247	1309
159	248	1307
160	250	1305
161	251	1303
162	253	1301
163	254	1299
164	256	1297
165	258	1296
166	259	1294
167	261	1292
168	262	1291
169	264	1289
170	265	1287
171	267	1285
172	268	1283
173	270	1282
174	271	1280
175	273	1278
176	274	1277
177	275	1274
178	277	1273
179	279	1271
180	280	1269
181	282	1268
182	283	1267
183	285	1265
184	286	1263
185	288	1261
186	289	1260
187	291	1258
188	292	1256
189	294	1254
190	295	1253
191	297	1251
192	298	1249
193	300	1247
194	301	1245
195	303	1244
196	304	1242
197	306	1240
198	307	1238
199	309	1236
200	310	1234
201	312	1233
202	313	1231
203	315	1229
204	316	1228
205	318	1226
206	319	1224
207	321	1222
208	322	1221
209	324	1219
210	325	1218
211	327	1216
212	328	1215
213	330	1213
214	332	1212
215	333	1211
216	335	1209
217	336	1208
218	338	1206
219	339	1204
220	341	1203
221	342	1201
222	344	1199
223	346	1198
224	347	1197
225	349	1196
226	350	1194
227	352	1192
228	353	1190
229	355	1189
230	356	1187
231	358	1185
232	359	1184
233	361	1182
234	362	1181
235	364	1179
236	365	1177
237	367	1176
238	369	1175
239	370	1173
240	372	1172
241	373	1170
242	375	1169
243	376	1167
244	378	1166
245	379	1164
246	381	1162
247	382	1160
